Code,Name,Organiser,Year,Credits,Semester,Written Exam %,Coursework %,Practical Exam %
MECE10002,Dynamics 4,Dr Filipe Teixeira-Dias,4,10.0,Semester 1,100,0,0
MECE10009,Polymers and Composite Materials 4,Dr Dipa Roy,4,10.0,Semester 1,60,40,0
MECE10004,Fluid Mechanics (Mechanical) 4,Dr Chandan Bose,4,10.0,Semester 1,100,0,0
MECE10015,Bio-Inspired Engineering 4,Dr Katherine Dunn,4,10.0,Semester 2,0,100,0
MECE10007,Mechanical Engineering Group Project 4,Dr Parvez Alam,4,20.0,Semester 1,0,100,0
MECE11008,Wind Energy 5,Prof Alasdair McDonald,5,10.0,Semester 2,0,100,0
MECE11017,Digital Manufacture 5,Dr Sina Haeri,5,10.0,Semester 2,0,100,0
MECE11006,Mechanical Engineering MEng Individual Project 5,Dr Andrew Downes,5,40.0,Full Year,0,100,0
MECE11016,Advanced Composite Materials 5,Dr Dongmin Yang,5,20.0,Full Year,0,100,0
MECE11018,Surface Engineering and Coatings 5,Prof Vasileios Koutsos,5,10.0,Semester 2,80,20,0
MECE11015,Dynamics 5,Dr Francisca Martinez-Hergueta,5,10.0,Semester 2,65,35,0
MECE11009,Marine Energy 5,Prof Vengatesan Venugopal,5,10.0,Semester 2,100,0,0
MECE11004,Computational Fluid Dynamics 5,Prof David Ingram,5,20.0,Semester 1,50,50,0
MECE11001,Marine Energy (MSc),Prof Vengatesan Venugopal,pg,10.0,Semester 2,100,0,0
PGEE10037,Power Engineering Fundamentals (MSc),Prof Stephen Finney,pg,20.0,Semester 1,100,0,0
PGEE10026,Supply Chain Management (MSc),Dr Ashley Lloyd,pg,10.0,Semester 2,100,0,0
PGEE10041,Radio Frequency Engineering (MSc),Prof Tughrul Arslan,pg,10.0,Semester 2,100,0,0
PGEE10039,Fire Safety Engineering (MSc),Dr Stephen Welch,pg,10.0,Semester 1,80,20,0
PGEE11108,Digital Signal Processing Laboratory (MSc),Dr Michael Davies,pg,10.0,Semester 2,0,100,0
PGEE11157,Batchwise and Semibatch Processing (MSc),Dr Jennifer Skilling,pg,10.0,Semester 2,100,0,0
PGEE11213,Metrology (MSc),Dr Nan Yu,pg,10.0,Semester 1,0,100,0
PGEE11233,Learning from Engineering Failures (MSc),Prof Luke Bisby,pg,10.0,Semester 2,0,100,0
PGEE11035,Dissertation (MSc in Structural and Fire Safety Engineering),Dr Stephen Welch,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE10029,Finite Element Analysis for Solids (IMFSE),Dr Stefanos Papanicolopulos,pg,12.0,Semester 1,60,40,0
PGEE11044,Research Project Preparation,Dr Rebecca Cheung,pg,10.0,Semester 2,0,100,0
PGEE10012,Engineering Project Management (MSc),Dr Simon Smith,pg,10.0,Semester 1,100,0,0
PGEE11220,Introduction to Bioelectronics (MSc),Dr Adam Stokes,pg,20.0,Semester 1,80,20,0
PGEE11121,Advanced Coding Techniques (MSc),Dr John Thompson,pg,10.0,Semester 2,100,0,0
PGEE11104,Management of the Project Lifecycle (IDCORE),Mr Stephen Warrington,pg,10.0,Full Year,-,-,-
PGEE11228,Interdisciplinary Group Challenge in Ageing and Care,Prof Ian Underwood,pg,20.0,Semester 2,0,100,0
PGEE11236,Advanced Analogue IC Design (MSc),Dr Srinjoy Mitra,pg,10.0,Semester 2,100,0,0
PGEE11055,Computational Fluid Dynamics (MSc),Prof David Ingram,pg,20.0,Semester 1,50,50,0
PGEE11239,Research Phase Year 1 - Intermediate Report (IDCORE),Prof David Ingram,pg,10.0,Flexible,0,100,0
PGEE11240,Research Phase Year 2 - Intermediate Report (IDCORE),Prof David Ingram,pg,10.0,Flexible,0,100,0
PGEE11172,Introduction to Research Methods (MSc),Dr Dimitrios Gerogiorgis,pg,20.0,Full Year,0,100,0
PGEE11231,Analogue VLSI Project,Dr Danial Chitnis,pg,10.0,Semester 2,0,100,0
PGEE11051,Structural Dynamics and Earthquake Engineering,Dr Pankaj Pankaj,pg,10.0,Semester 1,100,0,0
PGEE10040,Design of Surgical Tools and Implanted Medical Devices (MSc),Dr Anthony Callanan,pg,10.0,Semester 2,80,20,0
PGEE11120,Advanced Wireless Communications (MSc),Prof Tharmalingam Ratnarajah,pg,10.0,Semester 2,100,0,0
PGEE11212,Industrial Robotics (MSc),Dr Francesco Giorgio-Serchi,pg,10.0,Semester 1,0,100,0
PGEE11208,Research Methods in Programme Management (MSc),Dr Simon Smith,pg,10.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE10036,Distributed Energy Resources and Smart Grids (MSc),Dr Michael Merlin,pg,20.0,Semester 1,0,100,0
PGEE10001,Technologies for Sustainable Energy,Dr Camilla Thomson,pg,10.0,Semester 1,0,100,0
PGEE11234,Data Science for Manufacturing (Bayes),Prof Jonathan Corney,pg,10.0,Semester 2,0,100,0
PGEE11160,Dissertation (IMFSE),Dr Rory Hadden,pg,60.0,Semester 2,0,100,0
PGEE11092,Hydrodynamics of Offshore Renewable Energy Devices (IDCORE),Prof David Ingram,pg,10.0,Semester 1,-,-,-
PGEE11038,Microfabrication Techniques,Dr Jonathan Terry,pg,10.0,Semester 2,100,0,0
PGEE11081,Adsorption (MSc),Prof Stefano Brandani,pg,10.0,Semester 2,80,20,0
PGEE11211,Digital Design and Manufacture Group Design Project (MSc),Prof Jonathan Corney,pg,10.0,Semester 1,0,100,0
PGEE11192,Developing and Managing Innovative Organisations (IDCORE),Dr Sarah Cooper,pg,10.0,Flexible,0,100,0
PGEE11115,Embedded Mobile and Wireless Systems (EWireless) (MSc),Prof Tughrul Arslan,pg,20.0,Semester 2,0,100,0
PGEE11046,The Finite Element Method,Dr Stefanos Papanicolopulos,pg,10.0,Semester 2,60,40,0
PGEE11100,Moorings and Reliability (IDCORE),Prof David Ingram,pg,10.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE11237,Radio Frequency (RF) and Microwave Circuits and Systems (MSc),Dr Symon Podilchak,pg,10.0,Semester 2,80,20,0
PGEE11242,Advanced Chemical Engineering Design (MSc),Dr Hyungwoong Ahn,pg,10.0,Semester 2,0,100,0
PGEE11183,Research Skills (IDCORE),Prof David Ingram,pg,10.0,Full Year,0,100,0
PGEE11093,Cross-disciplinary Engineering Science Foundations (IDCORE),Prof Tom Bruce,pg,10.0,Full Year,0,100,0
PGEE11024,Electrical Engineering Fundamentals of Renewable Energy,Dr Jonathan Shek,pg,10.0,Semester 1,100,0,0
PGEE11133,"CDT-ISM credits awarded at U of Glasgow, semester 1, Research Methods in Sensing and Measurement",Prof Ian Underwood,pg,20.0,Semester 1,0,10,90
PGEE11091,Electromechanical & Electronic Energy Conversion Systems (IDCORE),Dr Markus Mueller,pg,10.0,Full Year,0,100,0
PGEE11165,Electrical Power Engineering Dissertation (MSc),Dr Thomas Morstyn,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE11229,Individual Project in Ageing and Care,Dr Nicholas Polydorides,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE11103,Regulation in the Offshore Renewable Sector (IDCORE),Prof David Ingram,pg,10.0,Full Year,-,-,-
PGEE11131,"CDT-ISM, credits awarded at U of Glasgow, semester 1, Nanofabrication",Prof Ian Underwood,pg,10.0,Semester 1,0,100,0
PGEE11096,Marine Renewables and the Environment (IDCORE),Prof David Ingram,pg,10.0,Full Year,0,100,0
PGEE11132,"CDT-ISM credits awarded at Glasgow, semester 1, Fundamentals of Sensing and Measurement",Prof Ian Underwood,pg,20.0,Semester 1,70,30,0
PGEE11156,Separation Processes (MSc),Dr Hyungwoong Ahn,pg,10.0,Semester 2,100,0,0
PGEE11141,Structural Design for Fire (IMFSE),Dr Angus Law,pg,12.0,Semester 1,100,0,0
PGEE11087,"Marine Operations, Condition Monitoring and Reliability (IDCORE)",Prof David Ingram,pg,10.0,Semester 2,-,-,-
PGEE11177,Electrochemical Engineering (MSc),Dr Nacho Tudela-Montes,pg,10.0,Semester 2,100,0,0
PGEE11016,Power Systems Engineering and Economics,Dr Sasa Djokic,pg,20.0,Semester 2,0,100,0
PGEE11198,Data Converter Design in Cadence (MSc),Dr Robert Henderson,pg,10.0,Blocks 4-5 (Sem 2),0,100,0
PGEE11074,Molecular Thermodynamics (MSc),Dr Martin Sweatman,pg,10.0,Semester 1,50,50,0
PGEE11202,Design and Performance of Delivery Enterprise (MSc),Dr Simon Smith,pg,10.0,Semester 1,0,100,0
PGEE11169,Numerical Methods for Chemical Engineers (MSc),Dr Daniel Friedrich,pg,20.0,Semester 1,0,100,0
PGEE11065,Electronics: Project and Thesis (MSc),Dr Adam Stokes,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE11124,Array Processing and MIMO Systems (MSc),Prof Tharmalingam Ratnarajah,pg,10.0,Semester 2,0,100,0
PGEE11023,Mechanical Engineering Fundamentals of Renewable Energy,Dr John Chick,pg,10.0,Semester 1,100,0,0
PGEE11163,Particle Technology Fundamentals and Industrial Applications (MSc),Dr Jin Sun,pg,10.0,Semester 2,60,40,0
PGEE11235,O&M Robotics and Sensors (IDCORE),Dr Adam Stokes,pg,10.0,Flexible,0,100,0
PGEE11113,Offshore Renewable Energy Dissertation (IDCORE),Prof David Ingram,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE11075,Gas Separations Using Membranes (MSc),Prof Maria-Chiara Ferrari,pg,10.0,Semester 2,100,0,0
PGEE11184,Advanced Process Safety (MSc),Dr Jennifer Skilling,pg,10.0,Semester 2,100,0,0
PGEE09001,Sustainable Energy Contexts (MSc),Prof Tom Bruce,pg,10.0,Semester 1,0,100,0
PGEE11197,Technology Entrepreneurship (MSc),Dr Matjaz Vidmar,pg,10.0,Semester 2,0,100,0
PGEE11216,Manufacturing Information Systems (MSc),Prof Jonathan Corney,pg,10.0,Semester 2,0,100,0
PGEE11088,Economic and Policy Analysis for Offshore Renewables (IDCORE),Prof David Ingram,pg,10.0,Full Year,0,100,0
PGEE11225,Research Methods for Engineers (MSc),Dr Simon Smith,pg,10.0,Semester 1,0,100,0
PGEE11152,Polymer Science and Engineering (MSc),Dr Cher Hon Lau,pg,10.0,Semester 2,100,0,0
PGEE11195,Engineering Research Methods with Grand Challenge (MSc) (10 credits),Dr David Garcia Cava,pg,10.0,Semester 1,0,100,0
PGEE11140,Structural Design for Fire (MSc),Dr Angus Law,pg,10.0,Semester 1,100,0,0
PGEE11221,Eco-Engineering (IDCORE),Prof Lars Johanning,pg,10.0,Flexible,0,100,0
PGEE11095,Marine Renewables and Society (IDCORE),Prof David Ingram,pg,10.0,Flexible,0,100,0
PGEE11019,Adaptive Signal Processing,Prof Bernie Mulgrew,pg,10.0,Semester 2,100,0,0
PGEE10020,"CDT-ISM, credits awarded at U of Glasgow, semester 1, Lasers and Electro-optic systems M4",Prof Ian Underwood,pg,20.0,Semester 1,75,25,0
PGEE11230,Analogue VLSI Lab,Dr Srinjoy Mitra,pg,10.0,Semester 1,0,100,0
PGEE11219,Sensors and Instrumentation (MSc),Dr Stewart Smith,pg,10.0,Semester 2,80,20,0
PGEE11137,Fire Science Laboratory (MSc),Dr Stephen Welch,pg,10.0,Semester 2,0,100,0
